carb3_activity,process_set_id,set_name,is_default,process_id,process_name,is_optional,equipment_examples,provenance
Tannery,default,Bovine leather tannery (beamhouse to finishing),TRUE,process_drums_machinery,Drums and mechanical operations,FALSE,process drums/mixers; fleshing machines; splitting/shaving machines; setting-out/staking machines,[KANO2020] Kano audit: factory machinery is the largest electricity end use (39%).
Tannery,default,Bovine leather tannery (beamhouse to finishing),TRUE,finishing,Finishing operations,TRUE,spray finishing lines; roller coaters; ironing/embossing presses,[TANBREF2013] Standard final stage; optional for wet-blue-only sites.
Tannery,default,Bovine leather tannery (beamhouse to finishing),TRUE,compressed_air,Compressed air,FALSE,air compressors serving spray guns and machines,Engineering inclusion; spray finishing and machine actuation are air-driven.
Tannery,default,Bovine leather tannery (beamhouse to finishing),TRUE,effluent_treatment,Effluent treatment,FALSE,aeration blowers; pumps; sludge dewatering,[TANBREF2013] BREF s17.8 (via UNIDO framework) identifies wastewater treatment as a significant tannery energy consumer.
Tannery,default,Bovine leather tannery (beamhouse to finishing),TRUE,site_services,Site services,FALSE,lighting; space heating/ventilation; offices,[KANO2020] Lighting 26% and space cooling 27% in the (tropical) Kano audit show services are material.
Vehicle repair workshop / garage,default,Vehicle repair workshop / MOT garage,TRUE,workshop_equipment,"Workshop equipment (lifts, compressed air, power tools, diagnostics)",FALSE,two-post lifts; air compressor; impact wrenches; MOT brake tester; diagnostic equipment; battery chargers,"[MIDAM_AUTOSHOP] Corresponds to the 'miscellaneous' (shop equipment) slice, the largest electricity end use in the published auto-shop pie chart."
Vehicle repair workshop / garage,default,Vehicle repair workshop / MOT garage,TRUE,site_services,"Site services (lighting, ventilation, cooling, office/ICT, refrigeration)",FALSE,workshop lighting; extract ventilation; office computers; vending/refrigeration,"[MIDAM_AUTOSHOP] Sum of lighting (29%), ventilation (12%), cooling (7%), computing (8%), office equipment (4%), refrigeration (3%) slices."
Vehicle repair workshop / garage,default,Vehicle repair workshop / MOT garage,TRUE,space_heating,Space heating,FALSE,gas warm-air heater; radiant heaters,[MIDAM_AUTOSHOP] 99% of natural gas at auto shops is space heating per the published chart.
Vehicle repair workshop / garage,default,Vehicle repair workshop / MOT garage,TRUE,water_heating,"Hot water (vehicle/parts washing, welfare)",TRUE,gas water heater; parts washer,[MIDAM_AUTOSHOP] 1% of gas per the published chart.
Wafer Fabrication,default,Semiconductor wafer fab,TRUE,process_tools,Process tools,FALSE,lithography scanners; etchers; furnaces/CVD; implanters; CMP,[HUCHUAH2003] Process tools ~40.4% of Taiwan fab electricity (abstract).
Wafer Fabrication,default,Semiconductor wafer fab,TRUE,cleanroom_hvac,"Cleanroom HVAC (makeup, recirculation, exhaust air)",FALSE,makeup air units; FFU/recirculation fans; exhaust fans,"[HUCHUAH2003] Named components of the facility system, which takes ~56.6% of fab electricity; HVAC up to 50% of fab electricity per SST2004."
Wafer Fabrication,default,Semiconductor wafer fab,TRUE,chilled_water_plant,Chilled water and process cooling water plant,FALSE,centrifugal chillers; cooling towers; PCW pumps,[HUCHUAH2003] Chiller plant and process cooling water listed within the 56.6% facility-system share.
Wafer Fabrication,default,Semiconductor wafer fab,TRUE,ultrapure_water,Ultrapure water production,FALSE,RO trains; EDI; UPW polishing and distribution pumps,[HUCHUAH2003] UPW listed within the facility system.
Wafer Fabrication,default,Semiconductor wafer fab,TRUE,bulk_gases_cda,"Bulk gases, compressed dry air and vacuum",FALSE,nitrogen plant; CDA compressors; house vacuum pumps,"[HUCHUAH2003] Gases, CDA and vacuum listed within the facility system."
Wafer Fabrication,default,Semiconductor wafer fab,TRUE,exhaust_abatement,Exhaust abatement,FALSE,point-of-use burn/wet abatement; scrubbers,Fuel-fired abatement of process exhaust gases is standard in fabs; engineering inclusion for the gas vector.
Wafer Fabrication,default,Semiconductor wafer fab,TRUE,site_services,Site services (non-cleanroom),FALSE,lighting; offices,[HUCHUAH2003] Residual (~3%) after tools 40.4% and facility 56.6%.
Works,default,Generic fabrication works (fabricated metal),TRUE,machine_drive,"Machine drive (cutting, forming, welding auxiliaries, compressed air)",FALSE,press brakes; saws; plasma/laser cutters; welding sets; air compressors,[MECS2022_T52] Largest electricity end use in MECS NAICS 332 fabricated metal products.
Works,default,Generic fabrication works (fabricated metal),TRUE,process_heating,"Process heating (heat treatment, furnaces, drying/stoving)",FALSE,heat-treatment furnaces; galvanising/stoving ovens; powder-coat cure ovens,[MECS2022_T52] Dominant natural gas end use in MECS NAICS 332 (175 of 275 TBtu).
Works,default,Generic fabrication works (fabricated metal),TRUE,surface_treatment,"Electro-chemical surface treatment (plating, anodising)",TRUE,plating baths; anodising rectifiers,[MECS2022_T52] Electro-chemical processes reported for NAICS 332; present only at works with finishing lines.
Works,default,Generic fabrication works (fabricated metal),TRUE,process_cooling,Process cooling,TRUE,quench systems; chillers,[MECS2022_T52] Minor reported end use in NAICS 332.
Works,default,Generic fabrication works (fabricated metal),TRUE,other_process,Other process uses,TRUE,test rigs; fume extraction,[MECS2022_T52] Residual process category in MECS.
Works,default,Generic fabrication works (fabricated metal),TRUE,steam_hot_water,Boiler steam / hot water generation,TRUE,steam boilers; degreasing/wash tanks,[MECS2022_T52] Indirect boiler gas 51 TBtu reported for NAICS 332.
Works,default,Generic fabrication works (fabricated metal),TRUE,site_services,"Site services (lighting, ventilation/cooling, offices, misc)",FALSE,high-bay lighting; extract ventilation; offices,[MECS2022_T52] Facility HVAC+lighting+support electricity 36 of 138 TBtu in NAICS 332.
Works,default,Generic fabrication works (fabricated metal),TRUE,space_heating,Space heating,FALSE,warm-air heaters; radiant tube heaters,[MECS2022_T52] Facility HVAC gas 40 TBtu in NAICS 332; CTV059 confirms space heating materiality in UK manufacturing.
Workshop,default,General engineering workshop,TRUE,machining_metalworking,Machining and metalworking (machine drive incl. compressed air),FALSE,lathes; milling machines; pillar drills; bench grinders; welding sets; air compressor,[MECS2022_T52] Machine drive is the dominant electricity end use in the closest MECS sectors (NAICS 332/333); standard equipment set for a jobbing engineering workshop.
Workshop,default,General engineering workshop,TRUE,process_heating,"Process heating (brazing, small ovens, paint drying)",TRUE,brazing hearth; small heat-treatment oven; paint-drying lamps,[MECS2022_T52] Present at a minority of workshops; small process-heating end use in MECS NAICS 333.
Workshop,default,General engineering workshop,TRUE,process_cooling,Process cooling,TRUE,coolant chillers; refrigerated dryers,[MECS2022_T52] Minor end use carried over from MECS NAICS 333 structure.
Workshop,default,General engineering workshop,TRUE,other_process,Other process uses,TRUE,test rigs; battery charging,[MECS2022_T52] Residual process electricity in MECS NAICS 333.
Workshop,default,General engineering workshop,TRUE,site_services,"Site services (lighting, ventilation/cooling, offices, misc)",FALSE,high-bay lighting; extract fans; office ICT,[CTV059] Carbon Trust CTV059: lighting can exceed 10% of site electricity (p.10); facility HVAC+lighting are large in MECS NAICS 333.
Workshop,default,General engineering workshop,TRUE,space_heating,Space heating,FALSE,gas warm-air heaters; radiant tube heaters,[CTV059] CTV059 p.8: space heating is 11% of all manufacturing energy and over 45% in some sub-sectors; dominant gas use in small workshops.
Workshop,default,General engineering workshop,TRUE,water_heating,Hot water,TRUE,gas water heater; washrooms,Engineering logic: welfare hot water present at staffed workshops.
